record_id;facility_code;department_id;date;energy_type;scope;consumption_amount;unit;co2_emission_tons
1;FAC-001;DPT-0003;5.05.2022;Electricity;Scope 1;1262.82;LT;0.36
2;FAC-001;DPT-0002;20.05.2022;Diesel;SCOPE 1;unknown;m3;0.2409
3;FAC-001;;10.10.2023;Natural Gas;scope 2;751.05;m3;0.484
4;FAC-001;DPT-0003;20.01.2022;Petrol;SCOPE 1;751.06;KWH;0.6064
5;FAC-001;DPT-0002;01-27-2024;electricity;;2381.93;M3;18.544
6;FAC-001;DPT-0005;1.08.2022;NATURAL GAS;SCOPE 1;;KWH;11.099
7;FAC-001;DPT-0003;25.06.2023;DIESEL;SCOPE 2;622.03;kWh;0.4233
8;FAC-001;DPT-0003;21.06.2023;lpg;;-;liter;0.9272
9;FAC-001;DPT-0002;31.10.2022;electricity;Scope 1;1064.23;M3;0.799
10;FAC-001;DPT-0001;07-30-2022;diesel;;135.83;kwh;0.0511
11;FAC-001;DPT-0002;20.02.2022;lpg;scope 2;382.39;liter;0.2816
12;FAC-001;DPT-0002;21.03.2022;Natural Gas;Scope 2;1118.29;LT;0.8079
13;FAC-001;DPT-0002;25.07.2023;NATURAL GAS;scope 2;2241.85;liter;14.483
14;FAC-001;DPT-0003;1.01.2023;NATURAL GAS;Scope 1;755.94;KWH;0.2413
15;FAC-001;DPT-0003;01-25-2023;Electricity;;584.31;kWh;0.4911
16;FAC-001;DPT-0002;8.11.2023;natural gas;SCOPE 1;970.73;M3;0.2834
17;FAC-001;DPT-0003;11.05.2024;LPG;scope 1;557.0;M3;0.2381
18;FAC-001;DPT-0003;22.10.2023;DIESEL;;718.0;m3;0.3647
19;FAC-001;DPT-0002;18.11.2023;Natural Gas;SCOPE 2;887.18;m3;0.3729
20;FAC-001;DPT-0001;30.05.2022;Diesel;Scope 2;365.95;liter;0.1958
21;FAC-001;DPT-0001;20.05.2024;electricity;;1550.92;kWh;11.884
22;FAC-001;DPT-0001;12.10.2023;Petrol;;310.16;LT;0.2267
