facility_name,total_record,total_null,null_percentage
Baltic Logistics Hub,2283,129.0,5.65
Baltic Metal Processing Site,2304,114.0,4.95
Cascade Distribution Center,2142,147.0,6.86
Delta Distribution Center,4596,264.0,5.74
Delta Logistics Hub,2952,152.0,5.15
Greenfield Manufacturing Plant,4345,290.0,6.67
Ironforge Manufacturing Plant,4224,264.0,6.25
Meridian Metal Processing Site,2370,141.0,5.95
Nordic Metal Processing Site,3088,160.0,5.18
Northline Manufacturing Plant,4590,348.0,7.58
Polder Production Facility,3770,205.0,5.44
Rhineland Metal Processing Site,3715,275.0,7.4
Rhineland Production Facility,3156,176.0,5.58
Vestal Chemical Works,5274,324.0,6.14
Vestal Manufacturing Plant,3308,192.0,5.8
