month,monthly_total_co2
2022-01,633.35
2022-02,542.25
2022-03,568.03
2022-04,520.12
2022-05,665.08
2022-06,579.34
2022-07,634.66
2022-08,676.04
2022-09,565.45
2022-10,688.2
2022-11,624.86
2022-12,470.88
2023-01,652.42
2023-02,530.18
2023-03,610.93
2023-04,660.42
2023-05,532.94
2023-06,711.83
2023-07,575.68
2023-08,636.1
2023-09,507.12
2023-10,590.62
2023-11,635.86
2023-12,543.11
2024-01,542.15
2024-02,611.55
2024-03,641.95
2024-04,624.12
2024-05,654.87
2024-06,560.18
2024-07,607.01
2024-08,659.73
2024-09,569.1
2024-10,622.22
2024-11,599.69
2024-12,588.41
