facility_name,city,sector,department_name,date_iso,energy_type,scope,consumption_amount,co2_emission_tons
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Diesel,Scope 1,,0.3592
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Diesel,Scope 1,,0.3592
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Diesel,Scope 1,,0.3592
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Diesel,Scope 1,,0.3592
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Diesel,Scope 1,,0.3592
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Diesel,Scope 1,644.19,0.1827
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Diesel,Scope 1,644.19,0.1827
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Diesel,Scope 1,644.19,0.1827
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Diesel,Scope 1,644.19,0.1827
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Diesel,Scope 1,644.19,0.1827
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Diesel,Scope 1,1195.0,0.8574
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Diesel,Scope 1,1195.0,0.8574
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Diesel,Scope 1,1195.0,0.8574
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Diesel,Scope 1,1195.0,0.8574
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Diesel,Scope 1,1195.0,0.8574
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Diesel,Scope 1,1624.92,1.2639
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Diesel,Scope 1,1624.92,1.2639
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Diesel,Scope 1,1624.92,1.2639
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Diesel,Scope 1,1624.92,1.2639
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Diesel,Scope 1,1624.92,1.2639
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Diesel,Scope 2,568.61,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Diesel,Scope 2,568.61,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Diesel,Scope 2,568.61,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Diesel,Scope 2,568.61,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Diesel,Scope 2,568.61,
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Electricity,,1169.93,0.5183
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Electricity,,1169.93,0.5183
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Electricity,,1169.93,0.5183
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Electricity,,1169.93,0.5183
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Electricity,,1169.93,0.5183
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Electricity,Scope 1,1024.04,0.7437
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Electricity,Scope 1,1024.04,0.7437
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Electricity,Scope 1,1024.04,0.7437
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Electricity,Scope 1,1024.04,0.7437
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Electricity,Scope 1,1024.04,0.7437
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Lpg,,,0.4673
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Lpg,,,0.4673
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Lpg,,,0.4673
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Lpg,,,0.4673
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Lpg,,,0.4673
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Lpg,,275.82,0.2216
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Lpg,,275.82,0.2216
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Lpg,,275.82,0.2216
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Lpg,,275.82,0.2216
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Lpg,,275.82,0.2216
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Lpg,Scope 1,1368.78,0.8755
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Lpg,Scope 1,1368.78,0.8755
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Lpg,Scope 1,1368.78,0.8755
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Lpg,Scope 1,1368.78,0.8755
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Lpg,Scope 1,1368.78,0.8755
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Natural Gas,Scope 1,1108.66,0.4272
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Natural Gas,Scope 1,1108.66,0.4272
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Natural Gas,Scope 1,1108.66,0.4272
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Natural Gas,Scope 1,1108.66,0.4272
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Natural Gas,Scope 1,1108.66,0.4272
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Petrol,Scope 1,938.95,0.4876
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Petrol,Scope 1,938.95,0.4876
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Human Resources,,Petrol,Scope 1,938.95,0.4876
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Petrol,Scope 1,938.95,0.4876
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,sales,,Petrol,Scope 1,938.95,0.4876
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Production,,Petrol,Scope 2,242.36,0.0709
Greenfield Manufacturing Plant,Amsterdam,Textile Manufacturing,Procurement,,Petrol,Scope 2,242.36,0.0709
